sample_id,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDBI,NDVI,NDWI
RS03_024,2248.5,1493,1601,1752,1584.5,1794,3383.5,4279.5,4438,4368,0.4965435862541199,-0.32745084166526794,0.47380656003952026,-0.43392568826675415
RS03_025,865.5,393.5,322,390.5,279.5,564.5,1816.5,2523,2363,2653.5,0.7144930362701416,-0.4638376832008362,0.7884578704833984,-0.7163609862327576
RS03_026,1734,683,330.5,437.5,264.5,635,2848.5,4074.5,3900,4333.5,0.701941967010498,-0.3844515383243561,0.8729739189147949,-0.7982708811759949
RS03_027,1636.5,908.5,743.5,831,701.5,1096,2834,3959.5,3872,4214.5,0.6199142336845398,-0.4058273434638977,0.6932327747344971,-0.6466085314750671
RS03_028,979.5,393,241,318,187,425.5,1820.5,2598.5,2556.5,2786.5,0.733514130115509,-0.4459841549396515,0.8636777997016907,-0.778744101524353
RS03_029,3364.5,2864,1958,2237.5,2304,2767.5,4191,4958.5,4604,5198.5,0.23299410939216614,-0.15554997324943542,0.332947313785553,-0.3459036648273468
RS03_030,2059,956,390,561,383,879,2667,3448,3378,3704,0.5588371157646179,-0.24259701371192932,0.7963307499885559,-0.7151561379432678
RS03_031,2543,1464,391,552,588,1055,1735,2054,2040,2469,0.16438356041908264,0.10975343734025955,0.5525113940238953,-0.5740740895271301
RS03_032,2421,1278,419.5,643.5,527.5,1008.5,2636,3183.5,2950,3484.5,0.395458847284317,-0.09849189966917038,0.6966211199760437,-0.6418533325195312
RS03_033,1597.5,712,378.5,537.5,352,819,2659.5,3452,3549.5,3734,0.6658453345298767,-0.37925004959106445,0.8195565938949585,-0.7369709014892578
RS03_034,1946.5,854.5,401,683.5,349.5,955,3031.5,3883,4164,4161,0.6594600081443787,-0.36289992928504944,0.8451312780380249,-0.7179989814758301
TJ01_001,1841,1167.5,606,850.5,929,1225.5,1605,1730.5,2077,1915,0.28032055497169495,-0.06023481488227844,0.38190287351608276,-0.4189581573009491
TJ01_002,3009,2720,941,1041,1313,1573,1653.5,1803,1761,2024.5,-0.21401472389698029,0.2616352140903473,0.14573845267295837,-0.25695931911468506
TJ01_003,1438,734,359,706,370,1109,2378,2890,2624,2808,0.5628350377082825,-0.29197439551353455,0.7528390288352966,-0.5759759545326233
TJ01_004,1703,810,399,746,539,1336,2670,3137,3284,3598,0.6042989492416382,-0.31702426075935364,0.7180224657058716,-0.629776656627655
TJ01_005,2038,1022,714,926,1152,1371,2224,2686,2680,2912,0.4478660225868225,-0.13607460260391235,0.39874738454818726,-0.48641154170036316
TJ01_006,3022.5,2574.5,780,935,1187,1508.5,2056.5,2164,2554,2332,-0.00399727001786232,0.08401326835155487,0.36541032791137695,-0.46402981877326965
TJ01_007,3273.5,2792.5,788.5,1001,1241,1531,1856,2170,2075,2259,-0.14740626513957977,0.22408151626586914,0.25150784850120544,-0.3491547405719757
TJ01_008,1965,1204,604,911,892,1326,2268,2599,2818,2890,0.4012928903102875,-0.17833995819091797,0.519137442111969,-0.5113971829414368
TJ01_009,2600,2276.5,841.5,977,1182,1382.5,2309.5,2483.5,2497,2677,0.04619251936674118,0.02020796574652195,0.35743409395217896,-0.43753597140312195
TJ01_010,2773.5,2509.5,835.5,1041,1299,1468,1741.5,1943.5,2018,2196,-0.10855880379676819,0.15767504274845123,0.21676214039325714,-0.3193854093551636
TJ01_011,1902,1499,820,1016,1275,1460,2198.5,2662,2636,2851,0.27496975660324097,-0.16174526512622833,0.34799283742904663,-0.44359254837036133
TJ01_012,1725,999,448,778,592,1447,2023,2280,2134,2243,0.36227259039878845,-0.10598600655794144,0.5656639933586121,-0.46565935015678406
TJ01_013,1885,1008,733,822,1052,1285,2455,2950,2896,3004,0.4836065471172333,-0.21146203577518463,0.46707192063331604,-0.557826817035675
TJ01_014,1793,865,519,774,749,1157,2760,3000,2780,3097,0.5253772139549255,-0.21583205461502075,0.5755171179771423,-0.5644344687461853
TJ01_015,2000,1206,719,960,1230,1400,2100,2344,2452,2599,0.34062328934669495,-0.10152740031480789,0.33188483119010925,-0.43728017807006836
TJ01_016,1775,1006.5,693,909.5,895,1425.5,2237.5,2696.5,2630,2888,0.4464457631111145,-0.1940976232290268,0.4921985864639282,-0.48608559370040894
TJ01_017,1599,813,368,542,572,927,1880,2023,1896,2020,0.3997785151004791,-0.08497854322195053,0.5364667773246765,-0.5553732514381409
TJ01_018,2065,1075,564,826,654,1337,2743,3427,3272,3581,0.5054060220718384,-0.22615700960159302,0.6668365001678467,-0.5968765020370483
TJ01_019,2457,1946,781.5,905,1098,1350,1789,2004,2034,2249.5,0.022110553458333015,0.0941883772611618,0.29885056614875793,-0.38414427638053894
TJ01_020,1771,1182,516.5,721,813.5,1273,2078.5,2396,2517,2697.5,0.3609083592891693,-0.17397387325763702,0.5114847421646118,-0.554663360118866
TJ01_021,2064,1116,446,689,692,1140,2380,2604,2750,2968,0.4226590692996979,-0.14250104129314423,0.5979081988334656,-0.5993021130561829
TJ01_022,1724,938,479,761,518,1164,2819,3737,3600,3912,0.5866020321846008,-0.3523666560649872,0.7484215497970581,-0.6509974598884583
TJ01_023,1834,988,432,715,510,1088,2287,2686,2802,3057,0.4786279797554016,-0.20880068838596344,0.6920289993286133,-0.5934034585952759
TJ01_024,1971,989,581,904,845,1319,2716,3242,3368,3561,0.5460178852081299,-0.2616594731807709,0.5988606810569763,-0.5767790079116821
TJ01_025,1822,1132,546,818,719,1180,2052,2319,2526,2545,0.38108256459236145,-0.16191352903842926,0.5568566918373108,-0.510765552520752
TJ01_026,1804,1011,538,792,805,1220,2289,2868,2186,3045,0.36753207445144653,-0.09573934972286224,0.46171849966049194,-0.4680993854999542
TJ01_027,1831,889,419,732,525,1094,2340,2794,2872,3046,0.5272533893585205,-0.22134807705879211,0.6909037232398987,-0.5937846899032593
TJ01_028,2917,2011,824.5,1063,1290,1625,2007.5,2173.5,2178,2430,0.03986631706357002,0.14504416286945343,0.2560553550720215,-0.34402963519096375
TJ01_029,2485,1707,712,912,1276,1523,2220,2353,2330,2478,0.1543225198984146,0.032191067934036255,0.2922906279563904,-0.43738433718681335
TJ01_030,3235,2296,1022,1230,1576,2108,2274,2608,2642,2845,0.0700688511133194,0.10090181976556778,0.25272640585899353,-0.36466941237449646
TJ01_031,2601.5,1743,654,920.5,949.5,1477,2165.5,2564,2334,2737.5,0.14495952427387238,0.05419917032122612,0.42165371775627136,-0.43432170152664185
TJ01_032,2151,1491,844,1070,1060,1430,2473,2760,2696,3028,0.2877955436706543,-0.11244068294763565,0.43556976318359375,-0.4317578375339508
TJ01_033,2376.5,1966.5,609,760,987,1180,2046,2512.5,2563,2693.5,0.13169224560260773,-0.03775685653090477,0.44394364953041077,-0.5425819754600525
TJ02_001,1749,1051,505.5,928.5,894,1401,2061.5,2385.5,2688,2120,0.43781760334968567,-0.2116294801235199,0.500837504863739,-0.48652011156082153
TJ02_002,2158,1248,612,878,821,1192,2337,2877,2886,3089,0.3962264060974121,-0.14432989060878754,0.5570542216300964,-0.5334750413894653
TJ02_004,4047,2802.5,1085,1495,2067,2336,2777,3020,3224,3264.5,0.06994109600782394,0.11318938434123993,0.2186732143163681,-0.3663911819458008
TJ02_005,4238.5,2977,1108.5,1499,1715,2416.5,3614,4221.5,4236,4568.5,0.17454595863819122,0.00029500265372917056,0.42362627387046814,-0.4772449731826782
TJ02_008,3802,2527,866.5,1130,1307,2118,2958.5,3311.5,3292,3556,0.131465882062912,0.07189173996448517,0.43161556124687195,-0.48891904950141907
TJ02_011,3812.5,2564,491,781,761,1653.5,2726,3216.5,3144,3531.5,0.10161177068948746,0.0960971787571907,0.6102432608604431,-0.6020382046699524
TJ02_014,3679,2363.5,637.5,975.5,1056,1609,2518,2887,2988,3312,0.11669625341892242,0.10364481806755066,0.47774481773376465,-0.5077583193778992
TJ02_016,4096.5,3025,760,1146,1579,1991.5,2249,2494,2161,2431.5,-0.16660238802433014,0.30930882692337036,0.155614972114563,-0.3069247007369995
TJ02_019,1607.5,878,331,498.5,356,933.5,1833.5,2307,2387,2649,0.46217456459999084,-0.19514332711696625,0.7404301762580872,-0.6544792652130127
TJ02_022,3407.5,2696,1143,1630,2133,2148.5,2539,2657,3052,2832,0.061934586614370346,0.055035218596458435,0.17724204063415527,-0.30371636152267456
TJ02_023,3022,1625,711,1033.5,907,1555.5,3123.5,3713,3686,4075,0.3880625069141388,-0.09898628294467926,0.6050511598587036,-0.5620298981666565
TJ02_027,2257,1594,629.5,826,978,1335,1707.5,1931,1798,2127.5,0.060141511261463165,0.1131935864686966,0.2953890562057495,-0.37042683362960815
TJ02_030,2988,1703,874,1192,1032,1563,2953,3540,3544,3878,0.3508671522140503,-0.08511941134929657,0.5489510297775269,-0.49662160873413086
TJ02_033,4217.5,3039,1083,1541,2098,2663.5,3037.5,3089.5,2882,2974.5,-0.026515791192650795,0.18811184167861938,0.15742972493171692,-0.30318787693977356
TJ02_040,3795,2748.5,800.5,1177,1459,2018.5,2629,2988.5,3026,3286.5,0.04805610701441765,0.11274006962776184,0.3493868410587311,-0.43992385268211365
TJ02_043,1763,952,369,578,375,980,2604,3407,3000,3542,0.5182186365127563,-0.25971025228500366,0.7777777910232544,-0.6769144535064697
TJ02_052,2718.5,1506.5,351,564,505,1175.5,2432.5,2862.5,2976,3251,0.3278304636478424,-0.045219071209430695,0.70985347032547,-0.6813559532165527
TJ02_057,3050,1686,412.5,682,625,1218,2347.5,2736,2945,3116,0.27186352014541626,0.01751459576189518,0.6498599648475647,-0.6239316463470459
TJ02_058,2383,1231,322,542,389,1008,2678,3280,3284,3505,0.4547065198421478,-0.15899065136909485,0.7881840467453003,-0.7166754007339478
TJ02_092,2931.5,1811,883,1225,1168,1761,3040,3415,3470,3554.5,0.3141450583934784,-0.08412090688943863,0.49633461236953735,-0.4781682789325714
TJ05_001,2873,1670,562,794,918,1410,2865,3399,3304,3789,0.3285082280635834,-0.06977497041225433,0.5651350021362305,-0.6124938726425171
TJ05_002,2258.5,1301.5,578.5,883,780,1376.5,2290.5,2716.5,2744,2862,0.3565690219402313,-0.0970514714717865,0.5573212504386902,-0.5130962133407593
TJ05_003,2154,1028,411,761,428,1211,3341,3887,3980,4287,0.5894568562507629,-0.29768502712249756,0.8058076500892639,-0.6789706945419312
TJ05_004,2115,1157,483,724,660,1261,2135,2412,2486,2598,0.36480921506881714,-0.08063464611768723,0.5804196000099182,-0.5489096641540527
TJ05_005,2696,1398,479,824,620,1221,3171,3805,3775,4085,0.4595012664794922,-0.1667439341545105,0.7178612351417542,-0.6416612267494202
BCAJ_001,2304,1266,435,758,625,1311,2711,3127,3320,3387,0.44788485765457153,-0.18065433204174042,0.6831431984901428,-0.6282491683959961
BCAJ_002,3098,1833.5,596,940,862,1517,2639.5,3176,3189.5,3469.5,0.2699581980705261,-0.01455268356949091,0.5744785666465759,-0.5447390675544739
BCAJ_003,4817.5,3718.5,1139,1593,2183,2554,2871,3202.5,3302,3340.5,-0.059326257556676865,0.18664942681789398,0.20401093363761902,-0.3491317629814148
BCAJ_004,2847,1616,414.5,676.5,546,1304.5,2551.5,2905,2825,3451,0.2722359895706177,0.0038787024095654488,0.6760604977607727,-0.6135941743850708
BCA_001,2614,1457,1056,1138,894,1624,3532,4165,4376,4362,0.5004286170005798,-0.25207439064979553,0.6607210636138916,-0.5872324705123901
BCA_002,3964,3124.5,3342,3332,3369.5,4048,4606.5,4837,4322,5048.5,0.1608138084411621,-0.04320540651679039,0.12383799999952316,-0.1293441355228424
BCA_003,2886,1658,424,672,589,1140,2500,2830,2934,3232,0.27787455916404724,-0.008247422985732555,0.6656258702278137,-0.6272878646850586
BCA_004,2162,1208,347,666,567.5,1095.5,1848,2067,2188,2317.5,0.28857478499412537,-0.005977011285722256,0.588096559047699,-0.5332866311073303
BCA_005,2963,1761.5,600.5,958,686,1470,3113,3559,3696,3795,0.3544663190841675,-0.11007659137248993,0.6869009733200073,-0.5883111357688904
BCA_006,1257.5,602,470,641,473,1546.5,3709.5,4542,4384,4776,0.7585238814353943,-0.5541965961456299,0.8052295446395874,-0.7448756098747253
RS04_001,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
RS04_002,3457.5,1925.5,568.5,933,797,1529.5,3411.5,4096.5,4142.5,4526,0.36535927653312683,-0.09013158082962036,0.6772952675819397,-0.6323515176773071
RS04_003,2734.5,1800,445.5,619,760,1177,1759.5,2064,1881,2316.5,0.02200488932430744,0.18492037057876587,0.42446044087409973,-0.504800021648407
RS04_004,3056,1565,684,990,795,1513,2766,3125,3256,3566,0.35075709223747253,-0.03168567642569542,0.6075043082237244,-0.5336787700653076
RS04_005,2594.5,1321,465.5,852.5,549.5,1326,3063.5,3501,3586,3840.5,0.46158549189567566,-0.16042391955852509,0.7342522144317627,-0.6158612370491028
RS04_006,3459,2280,1074,1366,1612,2112,2835,3280,3062,3229,0.14638711512088776,0.060880232602357864,0.31022679805755615,-0.3830171525478363
RS04_007,2972,1650,536,838,760,1404.5,2918.5,3497.5,3368,3795,0.3423674702644348,-0.06246056780219078,0.6317829489707947,-0.6015216112136841
RS04_008,3760,2861,1172,1764,2154,2376,3016,3326,3228,3608,0.06027262285351753,0.07613050937652588,0.19955407083034515,-0.29326921701431274
RS04_009,3598.5,2124.5,536.5,780.5,813,1669,2724.5,3056.5,2993,3389,0.16971176862716675,0.09186072647571564,0.5727798342704773,-0.5863257050514221
RS04_010,2483,1165,544,812,514,1443,3237,3658,3408,4052,0.49048763513565063,-0.15701918303966522,0.7378888130187988,-0.6151658892631531
RS04_011,3216,1932,820,1018,932,1598,2885,3467,3344,3841,0.2676270008087158,-0.019512195140123367,0.5640785694122314,-0.5332416296005249
RS04_012,2977,1885,516,643,790,1040,1477,1720,1784,2048,-0.027527937665581703,0.2505775988101959,0.3861693739891052,-0.47012773156166077
