sample_id,dw_entropy,dw_margin,dw_max_probability,dw_entropy_full_8class,dw_margin_full_8class,dw_max_probability_full_8class,dw_entropy_partial_5class,dw_margin_partial_5class,dw_max_probability_partial_5class,dw_water,dw_trees,dw_flooded_vegetation,dw_crops,dw_built,fdp_palm_probability_2023,fdp_rubber_probability_2023,screening_score,active_score
RS05_053,0.4953056296612462,0.687542,0.731722,0.4953056296612462,0.687542,0.731722,0.3793769582033786,0.698323,0.731722,0.030429,0.731722,0.030749,0.028219,0.033399,0.0,0.0,6.0,
RS05_054,0.5563349780093358,0.618718,0.683191,0.5563349780093358,0.618718,0.683191,0.44415353816931086,0.618718,0.683191,0.033652,0.683191,0.029498,0.064473,0.025016,0.031373,0.0,6.0,
RS05_055,0.4882363247649138,0.698707,0.734703,0.4882363247649138,0.698707,0.734703,0.38390705679236226,0.701029,0.734703,0.033674,0.734703,0.032785,0.029857,0.029297,0.0,0.0,6.0,
RS05_056,0.640136538435537,0.5263390000000001,0.607207,0.640136538435537,0.5263390000000001,0.607207,0.552917715074141,0.5263390000000001,0.607207,0.034218,0.607207,0.029708,0.080868,0.058054,0.478431,0.0,6.0,
RS05_057,0.4801803852972534,0.703077,0.739112,0.4801803852972534,0.703077,0.739112,0.3710705603136817,0.706476,0.739112,0.032636,0.739112,0.029959,0.03031,0.026945,0.0,0.0,6.0,
RS05_058,0.4910834252654319,0.686696,0.732864,0.4910834252654319,0.686696,0.732864,0.3742366684259576,0.6930989999999999,0.732864,0.030655,0.732864,0.039765,0.027627,0.023142,0.0,0.0,6.0,
RS05_059,0.6138653283621556,0.517089,0.629884,0.6138653283621556,0.517089,0.629884,0.44194473206083545,0.589546,0.629884,0.032502,0.629884,0.030049,0.032646,0.040338,0.0,0.0,6.0,
RS05_060,0.4903952693407014,0.692765,0.73,0.4903952693407014,0.692765,0.73,0.394693620617375,0.694384,0.73,0.035616,0.73,0.033121,0.034337,0.02747,0.0,0.0,6.0,
RS05_061,0.481883110428829,0.704459,0.738718,0.481883110428829,0.704459,0.738718,0.3831749759048555,0.7049,0.738718,0.033818,0.738718,0.030769,0.030856,0.030439,0.0,0.0,6.0,
RS05_062,0.4699926233794237,0.714212,0.747338,0.4699926233794237,0.714212,0.747338,0.3762854811554135,0.714212,0.747338,0.033126,0.747338,0.031444,0.029577,0.029645,0.0,0.0,6.0,
RS05_063,0.4772566565576726,0.707664,0.742065,0.4772566565576726,0.707664,0.742065,0.3787831540298633,0.710164,0.742065,0.031901,0.742065,0.03118,0.030722,0.03035,0.0,0.0,6.0,
RS05_064,0.4835030346795554,0.699889,0.73756,0.4835030346795554,0.699889,0.73756,0.3831246603836657,0.702017,0.73756,0.032586,0.73756,0.035543,0.033374,0.024541,0.0,0.0,6.0,
RS05_065,0.4794602592535434,0.704906,0.740441,0.4794602592535434,0.704906,0.740441,0.379335084943481,0.706952,0.740441,0.033489,0.740441,0.03053,0.030392,0.029793,0.0,0.0,6.0,
RS05_066,0.4759650724649946,0.709839,0.743043,0.4759650724649946,0.709839,0.743043,0.37793768614654444,0.709911,0.743043,0.031297,0.743043,0.029641,0.029851,0.033132,0.015686,0.0,6.0,
RS05_067,0.48503715560915,0.7020069999999999,0.736386,0.48503715560915,0.7020069999999999,0.736386,0.3890837556018066,0.702218,0.736386,0.034168,0.736386,0.032044,0.031669,0.03066,0.0,0.0,6.0,
RS05_068,0.5212893340546825,0.651409,0.710241,0.5212893340546825,0.651409,0.710241,0.4652037090252873,0.651409,0.710241,0.039895,0.710241,0.037731,0.058832,0.031812,0.031373,0.0,6.0,
RS05_069,0.4753192373280849,0.70912,0.742625,0.4753192373280849,0.70912,0.742625,0.3764779078773603,0.710969,0.742625,0.03151,0.742625,0.02851,0.031656,0.031425,0.0,0.0,6.0,
RS05_070,0.6194915603719477,0.542483,0.62944,0.6194915603719477,0.542483,0.62944,0.4920189449899776,0.575788,0.62944,0.032951,0.62944,0.046411,0.053652,0.03138,0.031373,0.0,6.0,
RS05_071,0.4792508720903887,0.70571,0.741601,0.4792508720903887,0.70571,0.741601,0.37490424010342016,0.7087789999999999,0.741601,0.032822,0.741601,0.029171,0.029792,0.03035,0.0,0.0,6.0,
RS05_072,0.4913310582029546,0.696007,0.732819,0.4913310582029546,0.696007,0.732819,0.38304556604151907,0.698801,0.732819,0.034018,0.732819,0.031092,0.031665,0.028099,0.003922,0.0,6.0,
RS05_073,0.4792298208277969,0.7040679999999999,0.739509,0.4792298208277969,0.7040679999999999,0.739509,0.3764713061837529,0.707128,0.739509,0.032381,0.739509,0.03006,0.029873,0.03025,0.027451,0.0,6.0,
RS05_074,0.4929551821287865,0.68198,0.729302,0.4929551821287865,0.68198,0.729302,0.37700383743605176,0.693432,0.729302,0.029272,0.729302,0.031354,0.03587,0.024991,0.317647,0.152941,6.0,
RS05_075,0.4948523453008431,0.686288,0.729062,0.4948523453008431,0.686288,0.729062,0.37477358225133234,0.694589,0.729062,0.03028,0.729062,0.026821,0.034473,0.028579,0.482353,0.003922,6.0,
RS05_076,0.4704288872957032,0.713041,0.747546,0.4704288872957032,0.713041,0.747546,0.3792888090488332,0.713041,0.747546,0.034505,0.747546,0.030816,0.028263,0.031857,0.0,0.0,6.0,
RS05_077,0.4774931095340133,0.7084379999999999,0.742176,0.4774931095340133,0.7084379999999999,0.742176,0.38063061403740156,0.7084379999999999,0.742176,0.033738,0.742176,0.030497,0.03108,0.029849,0.0,0.0,6.0,
RS05_078,0.485290725946465,0.702137,0.738001,0.485290725946465,0.702137,0.738001,0.3823804455624972,0.7024320000000001,0.738001,0.035569,0.738001,0.034066,0.028822,0.027142,0.0,0.0,6.0,
RS05_079,0.4835563922757631,0.702572,0.7377,0.4835563922757631,0.702572,0.7377,0.3865600877883181,0.703581,0.7377,0.034119,0.7377,0.031962,0.030476,0.030906,0.0,0.0,6.0,
RS05_080,0.4899816162741017,0.694853,0.733153,0.4899816162741017,0.694853,0.733153,0.38838045029046625,0.694853,0.733153,0.032905,0.733153,0.0383,0.029959,0.026824,0.0,0.0,6.0,
TJ02_067,,,,,,,0.5523129664459578,0.477467,0.560932,0.029298,0.560932,0.037505,0.083465,0.037949,0.0,0.976471,,6.0
TJ02_069,,,,,,,0.5591933204028421,0.45580800000000005,0.556529,0.023931,0.556529,0.037088,0.100721,0.037421,0.0,0.0,,5.0
TJ02_075,,,,,,,0.5660687287344947,0.47370500000000004,0.584855,0.028067,0.584855,0.036781,0.11115,0.039548,,,,5.0
TJ02_090,,,,,,,0.4582275966170601,0.593623,0.674525,0.025067,0.674525,0.026947,0.080902,0.03084,0.254902,0.0,,6.0
TJ05_023,,,,,,,0.46685995769002836,0.5477740000000001,0.62877,0.023437,0.62877,0.025277,0.080996,0.029361,0.0,0.0,,3.0
TJ05_036,,,,,,,0.5994154276109825,0.503038,0.606891,0.040279,0.606891,0.03649,0.103853,0.060333,0.0,0.0,,3.0
BCB_001,,,,,,,0.34773385766165993,0.7249019999999999,0.756828,0.031926,0.025292,0.024861,0.029116,0.756828,0.0,0.0,,7.0
BCB_002,,,,,,,0.3565758424247979,0.70584,0.739162,0.030087,0.025076,0.024471,0.033322,0.739162,0.0,0.0,,7.0
BCB_003,,,,,,,0.34244339403301755,0.708129,0.74194,0.028338,0.023915,0.02085,0.033811,0.74194,0.0,0.0,,7.0
BCB_004,,,,,,,0.3351706108915399,0.724452,0.754329,0.029647,0.023597,0.021857,0.029877,0.754329,0.0,0.0,,7.0
BCB_005,,,,,,,0.3791414327630327,0.663905,0.710275,0.029971,0.026788,0.018323,0.04637,0.710275,0.0,0.0,,7.0
BCB_006,,,,,,,0.49594491701522586,0.593368,0.649729,0.041605,0.041648,0.032073,0.056361,0.649729,0.0,0.0,,7.0
BCB_007,,,,,,,0.4226842631424908,0.682559,0.72523,0.039825,0.034,0.028736,0.042671,0.72523,0.0,0.0,,7.0
BCB_008,,,,,,,0.3833878637337039,0.7025680000000001,0.737484,0.034916,0.030855,0.028524,0.031566,0.737484,0.0,0.0,,7.0
BCB_009,,,,,,,0.42335207931048074,0.653057,0.702286,0.036267,0.03043,0.026102,0.049229,0.702286,0.0,0.0,,7.0
BCB_010,,,,,,,0.3592305270079974,0.727897,0.758963,0.029393,0.031066,0.025851,0.03076,0.758963,0.0,0.0,,7.0
BCB_011,,,,,,,0.5746096310226722,0.535576,0.602599,0.067023,0.061023,0.033923,0.049355,0.602599,0.0,0.0,,7.0
BCB_012,,,,,,,0.35976287563842463,0.7088899999999999,0.74257,0.028108,0.028473,0.024689,0.03368,0.74257,0.0,0.0,,7.0
